SizeCategory,TotalCHYear1,Learners1,TotalCHYear2,Learners2,TotalCHYear3,Learners3,GradPR,VAF,Institution,Region,GPercentFemale,MissingFlag,ID,CHperLearner_Yr1,CHperLearner_Yr2,CHperLearner_Yr3,CHperLearner,OutlierFlag
Medium,2019039,12352,2062857,11118,1870845,10365,0.7664184,0.3881076,FE College,Greater London,51,Complete,70,163.45846826,185.5420939,180.49638205,176.49898141,Normal
Medium,1710018,8814,1702310,7214,1547195,7206,0.7347223,0.3578692,FE College,Greater London,51,Complete,71,194.0115725,235.97310785,214.70927005,214.89798347,Normal
Large-Medium,2007248,10101,2217068,8601,2166030,7922,0.8534294,0.5054551,FE College,Greater London,51,Complete,72,198.71775072,257.76863155,273.41959101,243.30199109,Normal
Small-Medium,911975,6226,863512,5058,822346,4682,0.6613971,0.4313127,FE College,Greater London,51,Complete,73,146.47847735,170.72202452,175.63989748,164.28013312,Normal
Large-Medium,2382450,9598,2376121,8209,2238676,7938,0.8565926,0.3837605,FE College,Greater London,51,Complete,74,248.22358825,289.45316116,282.02015621,273.23230187,Normal
Large-Medium,2643367,10322,2702908,8980,2549610,8263,0.6809439,0.4156598,FE College,Greater London,51,Complete,75,256.09058322,300.99198218,308.55742466,288.54666336,Normal
Medium,2034390,12470,2060515,10907,1868812,10307,0.8174364,0.5028955,FE College,Greater London,51,Complete,76,163.14274258,188.91675071,181.31483458,177.79144262,Normal
Large-Medium,1877255,6507,1923098,6422,1925538,6409,0.7739011,0.4536375,FE College,Greater London,51,Complete,77,288.49777163,299.45468701,300.44281479,296.13175781,Normal
Medium,2767725,15038,2717933,12567,2240938,10373,0.9288132,0.4614605,FE College,Greater London,51,Complete,78,184.04874318,216.27540384,216.03566953,205.45327218,Normal
Unknown,,,,,,,,,,,51,,79,,,,,Missing_CH
Small,1007125,10323,974931,10389,806458,9219,0.7302298,0.3826567,FE College,North East,51,Complete,80,97.561270948,93.842622004,87.477817551,92.960570168,Normal
Medium,3535626,18251,3508852,15511,3249340,15661,0.8702055,0.323518,FE College,North East,51,Complete,81,193.72231659,226.21700729,207.47972671,209.13968353,Normal
Small-Medium,1530358,10197,1643977,9889,1220580,9367,0.7842682,0.488185,FE College,North East,51,Complete,82,150.07923899,166.24299727,130.30639479,148.87621035,Normal
Small-Medium,630766,5499,591940,3611,512015,3611,0.7321775,0.4557558,FE College,North East,51,Complete,83,114.70558283,163.92689006,141.7931321,140.14186833,Normal
Small,1137610,12895,1057650,10183,966400,9134,0.7338934,0.4301059,FE College,North East,51,Complete,84,88.221015898,103.86428361,105.80249617,99.295931892,Normal
Small-Medium,1739664,15250,1601546,10399,1560275,9883,0.8413259,0.4110827,FE College,North East,51,Complete,85,114.07632787,154.00961631,157.87463321,141.98685913,Normal
Small-Medium,989774,9016,1103059,6264,928644,6038,0.8117125,0.3975054,FE College,North East,51,Complete,86,109.77972493,176.09498723,153.79993375,146.5582153,Normal
Medium,2667128,15934,2557695,12551,2031822,12130,0.8436576,0.4724187,FE College,North East,51,Complete,87,167.38596711,203.78416062,167.50387469,179.55800081,Normal
Large-Medium,2133135,13281,2217938,8823,2247769,8225,0.9106994,0.4378032,FE College,North East,51,Complete,88,160.615541,251.38138955,273.2849848,228.42730512,Normal
Medium,5877756,34632,6713673,34244,7545209,40334,0.8238584,0.420394,FE College,North East,51,Complete,89,169.72037422,196.05399486,187.06820548,184.28085819,Normal
Small,1358511,12013,1304553,9844,1006701,8724,0.9168965,0.3633063,FE College,North East,51,Complete,90,113.08673937,132.52265339,115.39442916,120.33460731,Normal
Medium,969468,6419,1016555,4015,823556,3987,0.8230964,0.4133178,FE College,North East,51,Complete,91,151.03100171,253.18929016,206.56032104,203.59353764,Normal
Medium,2571837,16307,2783417,13485,2689172,12769,0.8701132,0.5384637,FE College,North East,51,Complete,92,157.71368124,206.40837968,210.60161328,191.57455807,Normal
Small,1291073,11795,1193292,9275,1039065,7714,0.6734706,0.4338497,FE College,North East,51,Complete,93,109.45934718,128.65681941,134.69859995,124.27158885,Normal
Small-Medium,2082159,15850,1988458,10952,1561178,8470,0.8957183,0.4866467,FE College,North East,51,Complete,94,131.36649842,181.56117604,184.31853601,165.74873682,Normal
Small-Medium,1493169,10343,1305576,8415,1209829,8137,0.7562627,0.3926616,FE College,North West,51,Complete,95,144.36517451,155.1486631,148.68243825,149.39875862,Normal
Medium,3513043,22863,3411010,15446,3200461,14261,0.770248,0.4198027,FE College,North West,51,Complete,96,153.65625683,220.83452026,224.4205175,199.6370982,Normal
Small-Medium,3308616,20233,3577573,18801,2316091,14557,0.8526009,0.4989697,FE College,North West,51,Complete,97,163.5257253,190.28631456,159.10496668,170.97233551,Normal
Medium,1525060,9665,1497919,7626,1379963,7584,0.7811775,0.40999,FE College,North West,51,Complete,98,157.79203311,196.4226331,181.95714662,178.72393761,Normal
Large-Medium,1564301,6837,1614659,6592,1192845,5359,0.8010352,0.4605552,FE College,North West,51,Complete,99,228.79932719,244.94220267,222.58723642,232.10958876,Normal
Large-Medium,2927947,11617,2896928,9820,2665723,9679,0.798762,0.3240038,FE College,North West,51,Complete,100,252.03985538,295.00285132,275.4130592,274.15192197,Normal
Small-Medium,871684,6865,964878,5074,785743,4461,0.8744547,0.3735469,FE College,North West,51,Complete,101,126.97509104,190.16121403,176.13606815,164.42412441,Normal
Small-Medium,4212641,26947,7716710,50723,7289549,53281,0.8282057,0.4053787,FE College,North West,51,Complete,102,156.33061194,152.13433748,136.81329179,148.4260804,Normal
Small-Medium,812354,4481,840705,4702,658996,4195,0.8231349,0.4035952,FE College,North West,51,Complete,103,181.28855166,178.79732029,157.09082241,172.39223145,Normal
Large-Medium,2494163,8618,2270160,7269,2536986,6860,0.8081397,0.4616123,FE College,North West,51,Complete,104,289.41320492,312.30705737,369.82303207,323.84776479,Normal
Large-Medium,2091208,8063,2121209,6493,1455783,5187,0.788381,0.4455696,FE College,North West,51,Complete,105,259.35855141,326.69166795,280.65991903,288.90337946,Normal
Small-Medium,588642,4509,548394,3603,479481,3520,0.9281923,0.4229558,FE College,North West,51,Complete,106,130.54823686,152.20482931,136.21619318,139.65641978,Normal
Large-Medium,2742798,10560,2449996,8728,1841984,7466,0.9091877,0.4265066,FE College,North West,51,Complete,107,259.73465909,280.70531622,246.71631396,262.38542976,Normal
Small-Medium,876185,5752,794434,5047,691915,4635,0.8091229,0.3539677,FE College,North West,51,Complete,108,152.32701669,157.40717258,149.28047465,153.00488797,Normal
Small-Medium,1966517,13764,1926641,12656,1651712,13467,0.7931596,0.4245772,FE College,North West,51,Complete,109,142.87394653,152.23143173,122.64884533,139.25140786,Normal
Large-Medium,5239523,20404,4927376,18319,4709780,14801,0.8938586,0.5328882,FE College,North West,51,Complete,110,256.78901196,268.97625416,318.20687791,281.32404801,Normal
Small-Medium,963853,7319,945160,6059,998115,6010,0.8278894,0.3881204,FE College,North West,51,Complete,111,131.6918978,155.99273808,166.07570715,151.25344768,Normal
Small-Medium,4979187,31534,5133080,28764,5022459,31067,0.8081997,0.4139614,FE College,North West,51,Complete,112,157.89899791,178.45501321,161.66540059,166.00647057,Normal
Medium,1312088,8320,1364012,6968,1215285,6140,0.7622458,0.4097408,FE College,North West,51,Complete,113,157.70288462,195.75373134,197.92915309,183.79525635,Normal
