SizeCategory,TotalCHYear1,Learners1,TotalCHYear2,Learners2,TotalCHYear3,Learners3,GradPR,VAF,Institution,Region,GPercentFemale,MissingFlag,ID,CHperLearner_Yr1,CHperLearner_Yr2,CHperLearner_Yr3,CHperLearner,OutlierFlag
Medium,1206106,8368,1275937,6812,1304203,6114,0.7710459,0.4418859,FE College,South West,51,Complete,172,144.1331262,187.30725191,213.31419693,181.58485834,Normal
Small-Medium,2503914,23654,2447577,16578,1983819,14070,0.872028,0.4047987,FE College,South West,51,Complete,173,105.85583834,147.64006515,140.99637527,131.49742625,Normal
Medium,1637944,8791,1368679,7259,1530680,6796,0.8533396,0.396048,FE College,South West,51,Complete,174,186.32055511,188.54924921,225.2324897,200.03409801,Normal
Small-Medium,5068298,44406,5166596,36546,4549934,33942,0.900019,0.3882033,FE College,South West,51,Complete,175,114.13543215,141.37240738,134.05026221,129.85270058,Normal
Small,4081482,42926,4048535,33955,3559181,30431,0.8137574,0.3508012,FE College,South West,51,Complete,176,95.081815217,119.23236637,116.95905491,110.42441217,Normal
Large-Medium,730403,4339,672382,2695,490025,1886,0.854009,0.4427697,FE College,South West,51,Complete,177,168.33440885,249.49239332,259.8223754,225.88305919,Normal
Large-Medium,2793537,11385,2966800,10372,2820783,10152,0.9338555,0.5064912,FE College,South West,51,Complete,178,245.36996047,286.03933668,277.85490544,269.7547342,Normal
Large-Medium,2426077,10777,2127547,8935,2092170,8394,0.738199,0.3659226,FE College,South West,51,Complete,179,225.11617333,238.11382205,249.24588992,237.49196177,Normal
Small-Medium,2772774,21741,2640264,17554,2378700,15041,0.7574266,0.317717,FE College,South West,51,Complete,180,127.53663585,150.40811211,158.14772954,145.36415917,Normal
Small-Medium,1766273,14245,1988788,12827,1909920,12345,0.7874096,0.304763,FE College,South West,51,Complete,181,123.99248859,155.04701021,154.71202916,144.58384266,Normal
Small-Medium,2097052,13684,2183966,11854,2061638,12221,0.7874715,0.4918644,FE College,South West,51,Complete,182,153.24846536,184.23873798,168.69634236,168.72784857,Normal
Small,671001,6158,721188,5401,481337,4790,0.9493169,0.5178489,FE College,South West,51,Complete,183,108.96411172,133.52860581,100.48789144,114.32686966,Normal
Large-Medium,441478,2435,451718,1286,355700,982,0.838762,0.4527586,FE College,South West,51,Complete,184,181.30513347,351.25816485,362.21995927,298.26108586,Normal
Small,733025,7213,730846,5798,593934,4863,0.7472895,0.3785442,FE College,South West,51,Complete,185,101.62553722,126.05139703,122.13325108,116.60339511,Normal
Medium,1018314,6310,882740,4742,725764,3819,0.7993809,0.330297,FE College,South West,51,Complete,186,161.38098257,186.15352172,190.04032469,179.19160966,Normal
Medium,1306807,9031,1401465,6993,1426061,6967,0.8539596,0.4671717,FE College,South West,51,Complete,187,144.70235854,200.40969541,204.68795751,183.26667049,Normal
Medium,1615897,10556,1881458,10687,2004807,9970,0.7931894,0.4454117,FE College,South West,51,Complete,188,153.07853354,176.05109011,201.08395186,176.7378585,Normal
Small-Medium,1043723,7242,1175188,4937,1024243,13245,0.8044409,0.3349177,FE College,South West,51,Complete,189,144.12082298,238.03686449,77.330539826,153.16274243,Normal
Small,679011,7876,735464,6952,702612,6792,0.8746459,0.3640443,FE College,South West,51,Complete,190,86.212671407,105.79171461,103.44699647,98.483794163,Normal
Small-Medium,1857924,12629,1768112,10337,1476974,9645,0.7418945,0.3207606,FE College,South West,51,Complete,191,147.11568612,171.04691884,153.13364438,157.09874978,Normal
Medium,3057546,15899,2797850,13197,3242464,13979,0.8684958,0.3637395,FE College,South West,51,Complete,192,192.31058557,212.00651663,231.95250018,212.08986746,Normal
Small-Medium,1742855,19337,1826582,12195,1722854,10024,0.8764546,0.3937602,FE College,South West,51,Complete,193,90.130578683,149.78122181,171.87290503,137.26156851,Normal
Large-Medium,1296194,7284,1453207,5562,1208764,4932,0.9265279,0.3489619,FE College,South West,51,Complete,194,177.95085118,261.27418195,245.08596918,228.10366744,Normal
Medium,2306967,11489,2309887,11044,2073973,11626,0.8142972,0.3919253,FE College,South West,51,Complete,195,200.79789364,209.15311481,178.39093411,196.11398085,Normal
Medium,1338713,8437,1288795,6380,1142974,5120,0.7932275,0.3859729,FE College,South West,51,Complete,196,158.67168425,202.00548589,223.23710938,194.63809317,Normal
Small-Medium,1641067,11842,1813549,9474,1609937,9365,0.8097131,0.4035445,FE College,West Midlands,51,Complete,197,138.58022294,191.42379143,171.90998398,167.30466612,Normal
Large-Medium,2039844,10942,2314026,9339,1929937,8006,0.7886717,0.3391302,FE College,West Midlands,51,Complete,198,186.42332298,247.78091873,241.061329,225.08852357,Normal
Small,709416,7215,768075,5657,681223,5408,0.8702675,0.4835646,FE College,West Midlands,51,Complete,199,98.325155925,135.77426198,125.96579142,120.02173644,Normal
Small-Medium,2931369,22841,2721624,17950,2273873,10924,0.9820147,0.45297,FE College,West Midlands,51,Complete,200,128.33803249,151.62250696,208.15388136,162.70480694,Normal
Small-Medium,1909164,12722,1886112,10362,1708727,10063,0.8438137,0.4154947,FE College,West Midlands,51,Complete,201,150.06791385,182.02200347,169.80294147,167.2976196,Normal
Small-Medium,2454531,19154,2476490,17973,2131147,16171,0.8703451,0.504882,FE College,West Midlands,51,Complete,202,128.14717552,137.78946197,131.7882011,132.5749462,Normal
Small-Medium,2568593,24904,2406679,16043,2036092,14374,0.7714068,0.3763722,FE College,West Midlands,51,Complete,203,103.13977674,150.01427414,141.65103659,131.60169582,Normal
Small,671878,7363,628797,5567,454320,4542,0.7555041,0.3722982,FE College,West Midlands,51,Complete,204,91.25057721,112.95078139,100.02642008,101.40925956,Normal
Large-Medium,2844388,8929,2691541,7851,2406053,6904,0.7883853,0.5281647,FE College,West Midlands,51,Complete,205,318.5561653,342.82779264,348.50130359,336.62842051,Normal
Medium,1491541,9785,1465677,7273,1244121,6595,0.8973914,0.5180761,FE College,West Midlands,51,Complete,206,152.43137455,201.52303039,188.64609553,180.86683349,Normal
Small-Medium,1029880,7081,1000914,5696,1093766,6406,0.7754315,0.399479,FE College,West Midlands,51,Complete,207,145.44273408,175.72226124,170.74086794,163.96862108,Normal
Large-Medium,150890,628,151298,628,164005,588,0.8861957,0.4847979,FE College,West Midlands,51,Complete,208,240.27070064,240.92038217,278.92006803,253.37038361,Normal
Small-Medium,652774,4314,636658,3990,617235,4035,0.7806552,0.3481119,FE College,West Midlands,51,Complete,209,151.31525267,159.56340852,152.97026022,154.61630714,Normal
Medium,366330,2657,335756,1742,422049,1823,0.7596096,0.4068885,FE College,West Midlands,51,Complete,210,137.87354159,192.74167623,231.51343939,187.37621907,Normal
Medium,1443360,10278,1909715,9831,1825694,8616,0.8360112,0.4661125,FE College,West Midlands,51,Complete,211,140.43199066,194.25439935,211.8957753,182.1940551,Normal
Medium,1860711,9979,1895691,8309,1824494,8544,0.8205386,0.4433325,FE College,West Midlands,51,Complete,212,186.46267161,228.14911542,213.54096442,209.38425048,Normal
Small-Medium,2339076,19217,2421445,12136,2142070,12122,0.7103384,0.4063334,FE College,West Midlands,51,Complete,213,121.71910288,199.52579103,176.7092889,165.9847276,Normal
Small,2226274,23477,2381853,18247,2443347,19470,0.8848639,0.4407534,FE College,West Midlands,51,Complete,214,94.82787409,130.53395079,125.49291217,116.95157902,Normal
Medium,1645005,10564,1410214,6297,1302967,5925,0.8462653,0.4146065,FE College,West Midlands,51,Complete,215,155.71800454,223.95013498,219.91004219,199.85939391,Normal
Small-Medium,1160176,7963,1178458,7652,1002612,7388,0.8524,0.4816775,FE College,West Midlands,51,Complete,216,145.69584328,154.00653424,135.70817542,145.13685098,Normal
Small,2522199,27847,2653841,18163,2473515,18707,0.8929875,0.4171438,FE College,West Midlands,51,Complete,217,90.57345495,146.11248142,132.22403378,122.96999005,Normal
Medium,3235056,20763,3194864,16007,3131654,14477,0.8053461,0.4877205,FE College,West Midlands,51,Complete,218,155.80869817,199.59167864,216.31926504,190.57321395,Normal
Medium,1643284,11344,1748098,7377,1762763,6716,0.773599,0.5021301,FE College,West Midlands,51,Complete,219,144.85930889,236.96597533,262.47215605,214.76581342,Normal
Small-Medium,3158063,25240,3015627,21508,2888369,21588,0.7902269,0.4512785,FE College,West Midlands,51,Complete,220,125.12135499,140.20954993,133.79511766,133.04200753,Normal
Medium,1380011,11543,1589882,8056,1448376,6749,0.7388458,0.406112,FE College,West Midlands,51,Complete,221,119.55392879,197.35377358,214.60601571,177.17123936,Normal
Medium,1498303,7311,1358874,5858,1291438,5520,0.7765516,0.4208348,FE College,West Midlands,51,Complete,222,204.93817535,231.96893138,233.95615942,223.62108872,Normal
Large-Medium,3427206,15269,4833979,20494,4293391,18907,0.8253785,0.4596289,FE College,West Midlands,51,Complete,223,224.45517061,235.87288963,227.07944148,229.1358339,Normal
Small-Medium,1334067,11339,1435969,9354,1388421,9057,0.8759344,0.4203626,FE College,West Midlands,51,Complete,224,117.65296763,153.5138978,153.29811196,141.4883258,Normal
Small,1829127,17094,2052957,17158,1906555,16489,0.8612043,0.4065696,FE College,West Midlands,51,Complete,225,107.0040365,119.65013405,115.62587179,114.09334745,Normal
Small,901230,10546,820723,7430,785427,7380,0.8037435,0.3605531,FE College,West Midlands,51,Complete,226,85.457045325,110.46069987,106.42642276,100.78138932,Normal
Medium,2675421,12427,2497538,10973,2203013,10010,0.8762715,0.3894625,FE College,West Midlands,51,Complete,227,215.29097932,227.60758225,220.08121878,220.99326012,Normal
Small-Medium,3867029,27020,3783584,23122,3503017,24303,0.7558435,0.3678614,FE College,West Midlands,51,Complete,228,143.11728349,163.63567165,144.13928322,150.29741279,Normal
Medium,2248135,12589,2312067,11976,2179641,11763,0.7430796,0.4807964,FE College,West Midlands,51,Complete,229,178.57931528,193.05836673,185.29635297,185.64467833,Normal
Large,2433567,8491,2512752,6597,2356862,5760,0.7857683,0.4225808,FE College,Yorkshire and the Humber,51,Complete,230,286.60546461,380.89313324,409.17743056,358.89200947,Normal
Medium,4792902,25015,5262428,21260,4386201,19453,0.8627788,0.448204,FE College,Yorkshire and the Humber,51,Complete,231,191.60111933,247.52718721,225.47684162,221.53504938,Normal
Small-Medium,1158981,10409,1420325,7832,1326088,6681,0.8425746,0.4199082,FE College,Yorkshire and the Humber,51,Complete,232,111.34412528,181.34895301,198.48645412,163.7265108,Normal
Small-Medium,1126436,9925,1169333,5596,928641,6124,0.7554581,0.3962715,FE College,Yorkshire and the Humber,51,Complete,233,113.49481108,208.95872051,151.63961463,158.03104874,Normal
Small-Medium,987346,7713,1008907,5225,957313,4854,0.9113737,0.4298001,FE College,Yorkshire and the Humber,51,Complete,234,128.0106314,193.0922488,197.22146683,172.77478235,Normal
Large-Medium,1015359,5286,1093120,4413,934852,3920,0.8223824,0.2934241,FE College,Yorkshire and the Humber,51,Complete,235,192.084563,247.7045094,238.48265306,226.09057515,Normal
Small-Medium,2968591,24853,3029288,18730,2756983,19336,0.7855859,0.4898971,FE College,Yorkshire and the Humber,51,Complete,236,119.44598238,161.73454351,142.58290236,141.25447608,Normal
Small-Medium,1005672,7291,988735,6153,722820,6157,0.8014397,0.389116,FE College,Yorkshire and the Humber,51,Complete,237,137.93334248,160.69153259,117.39808348,138.67431951,Normal
Small-Medium,3093698,18315,3232876,17664,2742777,18104,0.7699811,0.293416,FE College,Yorkshire and the Humber,51,Complete,238,168.91607972,183.02060688,151.50115996,167.81261552,Normal
Medium,3039299,16349,2992383,13389,,,0.92526,0.4277454,FE College,Yorkshire and the Humber,51,Year3_Missing,239,185.9012172,223.49563074,,204.69842397,Normal
Small-Medium,4165847,27040,4206912,23277,3986693,21880,0.8540892,0.4722148,FE College,Yorkshire and the Humber,51,Complete,240,154.06238905,180.73256863,182.2071755,172.3340444,Normal
Small,546475,9023,731534,7414,515205,7301,0.8581172,0.4212589,FE College,Yorkshire and the Humber,51,Complete,241,60.56466807,98.669274346,70.566360772,76.600101063,Normal
Small-Medium,701885,6629,799831,5256,,,0.8968604,0.361635,FE College,Yorkshire and the Humber,51,Year3_Missing,242,105.88097752,152.17484779,,129.02791266,Normal
Large-Medium,,,,,2757533,10796,,,FE College,Yorkshire and the Humber,51,Year1_Missing,243,,,255.42173027,255.42173027,Normal
Medium,780514,4500,939444,4664,857313,4923,0.7863398,0.4460574,FE College,Yorkshire and the Humber,51,Complete,244,173.44755556,201.4245283,174.14442413,183.00550266,Normal
Medium,1285986,7122,1087521,5009,1016269,4485,0.766991,0.396427,FE College,Yorkshire and the Humber,51,Complete,245,180.56529065,217.11339589,226.59286511,208.09051721,Normal
Small-Medium,1508640,11665,1439684,8489,1101201,8711,0.9498404,0.4239215,FE College,Yorkshire and the Humber,51,Complete,246,129.33047578,169.5940629,126.41499254,141.77984374,Normal
Small-Medium,1518112,8406,1405827,7465,1133739,7518,0.7887261,0.3885849,FE College,Yorkshire and the Humber,51,Complete,247,180.59862003,188.32243804,150.80327215,173.24144341,Normal
Small,2742239,35311,2927433,33812,3659611,35181,0.8905272,0.4450564,FE College,Yorkshire and the Humber,51,Complete,248,77.65962448,86.57970543,104.02237003,89.420566646,Normal
Small-Medium,2069636,21012,1998056,12874,1732438,13907,0.8269626,0.3815369,FE College,Yorkshire and the Humber,51,Complete,249,98.497810775,155.20086997,124.57309269,126.09059114,Normal
Small-Medium,845414,5756,781124,5040,665623,4704,0.8812267,0.4370145,FE College,Yorkshire and the Humber,51,Complete,250,146.8752606,154.98492063,141.5014881,147.78722311,Normal
Small,646922,5687,642178,4877,569928,4746,0.8795996,0.4454396,FE College,Yorkshire and the Humber,51,Complete,251,113.75452787,131.67480008,120.08596713,121.83843169,Normal
Medium,4958324,26922,4908065,24879,4537878,23403,0.8452454,0.492095,FE College,Yorkshire and the Humber,51,Complete,252,184.17368695,197.27742273,193.90155108,191.78422025,Normal
Medium,2191304,10691,2128626,9223,1963099,9064,0.7295748,0.4166824,FE College,Yorkshire and the Humber,51,Complete,253,204.96716865,230.7954028,216.58197264,217.44818136,Normal
Large-Medium,2630701,9763,2596354,8310,2466616,8620,0.8211053,0.4221464,FE College,Yorkshire and the Humber,51,Complete,254,269.45621223,312.43730445,286.15034803,289.3479549,Normal
Medium,762408,6063,845628,4109,713626,3529,0.8395804,0.4031197,FE College,Yorkshire and the Humber,51,Complete,255,125.74764968,205.79897785,202.21762539,177.92141764,Normal
